t,year,month,quarter,start_date,end_date,n_nodes,n_edges_directed
199001,1990,1,1,1990-01-01,1990-01-31,2278,8432
199002,1990,2,1,1990-02-01,1990-02-28,2278,8236
199003,1990,3,1,1990-03-01,1990-03-31,2278,8181
199004,1990,4,2,1990-04-01,1990-04-30,2278,7829
199005,1990,5,2,1990-05-01,1990-05-31,2278,7993
199006,1990,6,2,1990-06-01,1990-06-30,2278,8276
199007,1990,7,3,1990-07-01,1990-07-31,2278,7941
199008,1990,8,3,1990-08-01,1990-08-31,2278,7851
199009,1990,9,3,1990-09-01,1990-09-30,2278,8733
199010,1990,10,4,1990-10-01,1990-10-31,2278,8037
199011,1990,11,4,1990-11-01,1990-11-30,2278,7707
199012,1990,12,4,1990-12-01,1990-12-31,2278,8693
199101,1991,1,1,1991-01-01,1991-01-31,2278,8718
199102,1991,2,1,1991-02-01,1991-02-28,2278,8052
199103,1991,3,1,1991-03-01,1991-03-31,2278,7882
199104,1991,4,2,1991-04-01,1991-04-30,2278,8150
199105,1991,5,2,1991-05-01,1991-05-31,2278,7830
199106,1991,6,2,1991-06-01,1991-06-30,2278,8000
199107,1991,7,3,1991-07-01,1991-07-31,2278,7714
199108,1991,8,3,1991-08-01,1991-08-31,2278,7725
199109,1991,9,3,1991-09-01,1991-09-30,2278,8262
199110,1991,10,4,1991-10-01,1991-10-31,2278,8013
199111,1991,11,4,1991-11-01,1991-11-30,2278,7731
199112,1991,12,4,1991-12-01,1991-12-31,2278,8407
199201,1992,1,1,1992-01-01,1992-01-31,2278,8429
199202,1992,2,1,1992-02-01,1992-02-29,2278,7737
199203,1992,3,1,1992-03-01,1992-03-31,2278,7753
199204,1992,4,2,1992-04-01,1992-04-30,2278,7784
199205,1992,5,2,1992-05-01,1992-05-31,2278,7404
199206,1992,6,2,1992-06-01,1992-06-30,2278,7980
199207,1992,7,3,1992-07-01,1992-07-31,2278,7646
199208,1992,8,3,1992-08-01,1992-08-31,2278,7557
199209,1992,9,3,1992-09-01,1992-09-30,2278,8518
199210,1992,10,4,1992-10-01,1992-10-31,2278,7612
199211,1992,11,4,1992-11-01,1992-11-30,2278,7291
199212,1992,12,4,1992-12-01,1992-12-31,2278,8320
199301,1993,1,1,1993-01-01,1993-01-31,2278,8023
199302,1993,2,1,1993-02-01,1993-02-28,2278,7617
199303,1993,3,1,1993-03-01,1993-03-31,2278,7815
199304,1993,4,2,1993-04-01,1993-04-30,2278,8199
199305,1993,5,2,1993-05-01,1993-05-31,2278,7508
199306,1993,6,2,1993-06-01,1993-06-30,2278,8166
199307,1993,7,3,1993-07-01,1993-07-31,2278,7405
199308,1993,8,3,1993-08-01,1993-08-31,2278,7397
199309,1993,9,3,1993-09-01,1993-09-30,2278,8598
199310,1993,10,4,1993-10-01,1993-10-31,2278,7519
199311,1993,11,4,1993-11-01,1993-11-30,2278,7603
199312,1993,12,4,1993-12-01,1993-12-31,2278,8407
199401,1994,1,1,1994-01-01,1994-01-31,2278,8112
199402,1994,2,1,1994-02-01,1994-02-28,2278,7818
199403,1994,3,1,1994-03-01,1994-03-31,2278,7786
199404,1994,4,2,1994-04-01,1994-04-30,2278,7750
199405,1994,5,2,1994-05-01,1994-05-31,2278,7206
199406,1994,6,2,1994-06-01,1994-06-30,2278,7409
199407,1994,7,3,1994-07-01,1994-07-31,2278,7147
199408,1994,8,3,1994-08-01,1994-08-31,2278,6872
199409,1994,9,3,1994-09-01,1994-09-30,2278,7658
199410,1994,10,4,1994-10-01,1994-10-31,2278,7100
199411,1994,11,4,1994-11-01,1994-11-30,2278,7007
199412,1994,12,4,1994-12-01,1994-12-31,2278,7637
199501,1995,1,1,1995-01-01,1995-01-31,2278,7499
199502,1995,2,1,1995-02-01,1995-02-28,2278,7529
199503,1995,3,1,1995-03-01,1995-03-31,2278,7007
