# index, airport_code, airport_id, airport_seq_id, city_market_id, origin, city_name, state_abr, state_fips, state_nm, wac, _pos
0,MSY,13495,1349503,33495,,"New Orleans, LA",LA,22,Louisiana,72,"array([-3.18299733,  1.18970732])"
1,PHX,14107,1410702,30466,,"Phoenix, AZ",AZ,04,Arizona,81,"array([-3.19974664,  1.17691693])"
2,SAT,14683,1468301,33214,,"San Antonio, TX",TX,48,Texas,74,"array([-3.19720984,  1.18538049])"
3,MWH,13546,1354602,33546,,"Moses Lake, WA",WA,53,Washington,93,"array([-3.17929456,  1.10582147])"
4,SEA,14747,1474703,30559,,"Seattle, WA",WA,53,Washington,93,"array([-3.17886015,  1.15576889])"
5,OAK,13796,1379601,32457,,"Oakland, CA",CA,06,California,91,"array([-3.19467166,  1.16932833])"
6,EWR,11618,1161802,31703,,"Newark, NJ",NJ,34,New Jersey,21,"array([-3.186071  ,  1.19399623])"
7,OGG,13830,1383002,33830,,"Kahului, HI",HI,15,Hawaii,2,"array([-3.20216224,  1.15156886])"
8,KOA,12758,1275803,32758,,"Kona, HI",HI,15,Hawaii,2,"array([-3.2065902 ,  1.14899335])"
9,OKC,13851,1385102,33851,,"Oklahoma City, OK",OK,40,Oklahoma,73,"array([-3.18953047,  1.18297901])"
10,LAS,12889,1288902,32211,,"Las Vegas, NV",NV,32,Nevada,85,"array([-3.1954033 ,  1.17999691])"
11,SLC,14869,1486902,34614,,"Salt Lake City, UT",UT,49,Utah,87,"array([-3.18363811,  1.1722304 ])"
12,OMA,13871,1387101,33316,,"Omaha, NE",NE,31,Nebraska,65,"array([-3.18125947,  1.18216194])"
13,BOS,10721,1072102,30721,,"Boston, MA",MA,25,Massachusetts,13,"array([-3.19353112,  1.20415278])"
14,BWI,10821,1082102,30852,,"Baltimore, MD",MD,24,Maryland,35,"array([-3.19010128,  1.19744204])"
15,CID,11003,1100302,31003,,"Cedar Rapids/Iowa City, IA",IA,19,Iowa,61,"array([-3.21008736,  1.19101254])"
16,CLE,11042,1104205,30647,,"Cleveland, OH",OH,39,Ohio,44,"array([-3.19757332,  1.19759974])"
17,LAX,12892,1289201,32575,,"Los Angeles, CA",CA,06,California,91,"array([-3.19012276,  1.17388126])"
18,MSP,13487,1348701,31650,,"Minneapolis, MN",MN,27,Minnesota,63,"array([-3.1802077 ,  1.18740775])"
19,PHL,14100,1410001,34100,,"Philadelphia, PA",PA,42,Pennsylvania,23,"array([-3.19388187,  1.19979447])"
20,SFO,14771,1477101,32457,,"San Francisco, CA",CA,06,California,91,"array([-3.18792161,  1.17365542])"
21,SMF,14893,1489302,33192,,"Sacramento, CA",CA,06,California,91,"array([-3.17990773,  1.17315821])"
22,TUS,15376,1537601,30436,,"Tucson, AZ",AZ,04,Arizona,81,"array([-3.19886137,  1.17483742])"
23,ONT,13891,1389101,32575,,"Ontario, CA",CA,06,California,91,"array([-3.19648332,  1.17096455])"
24,DAY,11267,1126701,31267,,"Dayton, OH",OH,39,Ohio,44,"array([-3.20481077,  1.20222708])"
25,IAH,12266,1226603,31453,,"Houston, TX",TX,48,Texas,74,"array([-3.18868112,  1.18667125])"
26,LGA,12953,1295301,31703,,"New York, NY",NY,36,New York,22,"array([-3.19539922,  1.19408909])"
27,MCI,13198,1319801,33198,,"Kansas City, MO",MO,29,Missouri,64,"array([-3.19078759,  1.18714384])"
28,SAN,14679,1467902,33570,,"San Diego, CA",CA,06,California,91,"array([-3.19036613,  1.18013083])"
29,ORD,13930,1393001,30977,,"Chicago, IL",IL,17,Illinois,41,"array([-3.18757302,  1.19071806])"
30,BIL,10620,1062001,30620,,"Billings, MT",MT,30,Montana,84,"array([-3.18463507,  1.14871133])"
31,BNA,10693,1069302,30693,,"Nashville, TN",TN,47,Tennessee,54,"array([-3.20054323,  1.19504742])"
32,DTW,11433,1143301,31295,,"Detroit, MI",MI,26,Michigan,43,"array([-3.19570419,  1.1957484 ])"
33,EUG,11603,1160301,31603,,"Eugene, OR",OR,41,Oregon,92,"array([-3.19148601,  1.15047686])"
34,ICT,12278,1227805,30928,,"Wichita, KS",KS,20,Kansas,62,"array([-3.18047081,  1.17914626])"
35,MIA,13303,1330302,32467,,"Miami, FL",FL,12,Florida,33,"array([-3.183728  ,  1.20287786])"
36,PBI,14027,1402702,34027,,"West Palm Beach/Palm Beach, FL",FL,12,Florida,33,"array([-3.19794709,  1.20793474])"
37,YUM,16218,1621801,33785,,"Yuma, AZ",AZ,04,Arizona,81,"array([-3.23485222,  1.16573091])"
38,ORF,13931,1393102,33667,,"Norfolk, VA",VA,51,Virginia,38,"array([-3.19943243,  1.20489358])"
39,CAE,10868,1086802,30868,,"Columbia, SC",SC,45,South Carolina,37,"array([-3.19609385,  1.2153082 ])"
40,PIT,14122,1412201,30198,,"Pittsburgh, PA",PA,42,Pennsylvania,23,"array([-3.19296804,  1.20908067])"
41,TLH,15249,1524901,35249,,"Tallahassee, FL",FL,12,Florida,33,"array([-3.20037374,  1.21871029])"
42,OSH,13949,1394901,33949,,"Oshkosh, WI",WI,55,Wisconsin,45,"array([-3.13310443,  1.26742312])"
43,ATW,10408,1040801,30408,,"Appleton, WI",WI,55,Wisconsin,45,"array([-3.16649746,  1.19356152])"
44,CWA,11203,1120301,30424,,"Mosinee, WI",WI,55,Wisconsin,45,"array([-3.21324674,  1.17143926])"
45,CHS,10994,1099402,30994,,"Charleston, SC",SC,45,South Carolina,37,"array([-3.17595477,  1.1987407 ])"
46,CLT,11057,1105703,31057,,"Charlotte, NC",NC,37,North Carolina,36,"array([-3.19350654,  1.20667482])"
47,CRP,11140,1114001,31140,,"Corpus Christi, TX",TX,48,Texas,74,"array([-3.17417756,  1.17481865])"
48,FLL,11697,1169702,32467,,"Fort Lauderdale, FL",FL,12,Florida,33,"array([-3.18638515,  1.20257918])"
49,PDT,14054,1405401,34054,,"Pendleton, OR",OR,41,Oregon,92,"array([-3.16977484,  1.11699222])"
50,YKM,16101,1610102,36101,,"Yakima, WA",WA,53,Washington,93,"array([-3.18511654,  1.12285926])"
51,PDX,14057,1405702,34057,,"Portland, OR",OR,41,Oregon,92,"array([-3.18601094,  1.16408673])"
52,BDL,10529,1052902,30529,,"Hartford, CT",CT,09,Connecticut,11,"array([-3.19554628,  1.19243729])"
53,COS,11109,1110901,30189,,"Colorado Springs, CO",CO,08,Colorado,82,"array([-3.18795359,  1.17135682])"
54,MKE,13342,1334207,33342,,"Milwaukee, WI",WI,55,Wisconsin,45,"array([-3.19880181,  1.18948532])"
55,BTV,10785,1078501,30785,,"Burlington, VT",VT,50,Vermont,16,"array([-3.1780117 ,  1.21654599])"
56,CEF,10933,1093301,30933,,"Chicopee Falls, MA",MA,25,Massachusetts,13,"array([-3.18372277,  1.30097527])"
57,GSP,11996,1199603,31871,,"Greer, SC",SC,45,South Carolina,37,"array([-3.20296898,  1.21178715])"
58,HSV,12217,1221702,30255,,"Huntsville, AL",AL,01,Alabama,51,"array([-3.17302476,  1.1941542 ])"
59,JFK,12478,1247801,31703,,"New York, NY",NY,36,New York,22,"array([-3.17962067,  1.19358873])"
60,MCO,13204,1320401,31454,,"Orlando, FL",FL,12,Florida,33,"array([-3.18846206,  1.19418285])"
61,FSD,11775,1177501,31775,,"Sioux Falls, SD",SD,46,South Dakota,67,"array([-3.16961679,  1.18286963])"
62,FWA,11823,1182304,31823,,"Fort Wayne, IN",IN,18,Indiana,42,"array([-3.21518855,  1.20225286])"
63,CRW,11146,1114602,31146,,"Charleston/Dunbar, WV",WV,54,West Virginia,39,"array([-3.17365669,  1.21778258])"
64,IAD,12264,1226401,30852,,"Washington, DC",VA,51,Virginia,38,"array([-3.19073771,  1.20480117])"
65,LEX,12945,1294501,32945,,"Lexington, KY",KY,21,Kentucky,52,"array([-3.20701367,  1.21330653])"
66,SBN,14696,1469601,34696,,"South Bend, IN",IN,18,Indiana,42,"array([-3.21173638,  1.2101686 ])"
67,GCC,11865,1186502,31865,,"Gillette, WY",WY,56,Wyoming,88,"array([-3.15924862,  1.11838815])"
68,SHR,14812,1481201,34812,,"Sheridan, WY",WY,56,Wyoming,88,"array([-3.14233208,  1.11312374])"
69,GEG,11884,1188401,31884,,"Spokane, WA",WA,53,Washington,93,"array([-3.18386055,  1.15794563])"
70,GJT,11921,1192101,31921,,"Grand Junction, CO",CO,08,Colorado,82,"array([-3.20680976,  1.15492936])"
71,EGE,11503,1150301,31503,,"Eagle, CO",CO,08,Colorado,82,"array([-3.2205656 ,  1.17372747])"
72,TUL,15370,1537001,34653,,"Tulsa, OK",OK,40,Oklahoma,73,"array([-3.19860514,  1.18219407])"
73,GNV,11953,1195301,31953,,"Gainesville, FL",FL,12,Florida,33,"array([-3.1917974 ,  1.23765259])"
74,GRB,11977,1197701,31977,,"Green Bay, WI",WI,55,Wisconsin,45,"array([-3.16861066,  1.20347156])"
75,CAK,10874,1087402,30647,,"Akron, OH",OH,39,Ohio,44,"array([-3.20564794,  1.21621624])"
